Message,Label
Win money now,Spam
Claim your free prize,Spam
Congratulations you won cash,Spam
Free entry in contest,Spam
You have been selected for lottery,Spam
Earn money fast,Spam
Limited offer click now,Spam
Urgent! update your bank details,Spam
Get rich quick scheme,Spam
Exclusive deal just for you,Spam
Hello friend how are you,Not Spam
Let's meet tomorrow,Not Spam
Are you coming to college today,Not Spam
Call me later,Not Spam
Good morning have a nice day,Not Spam
I will see you in class,Not Spam
What are you doing today,Not Spam
Can we talk now,Not Spam
Are you free this evening,Not Spam
Please send me the notes,Not Spam
